,player,x,y,loc,interaction,Jogo,temporada
0,Antoine Griezmann,86.59428571428572,44.888571428571424,[86.59428571 44.88857143],80,Barcelona x Celta Vigo,2020/2021
1,Clément Lenglet,58.82083333333334,55.729166666666664,[58.82083333 55.72916667],141,Barcelona x Celta Vigo,2020/2021
2,Gerard Piqué Bernabéu,48.11,33.695,[48.11  33.695],114,Barcelona x Celta Vigo,2020/2021
3,Jordi Alba Ramos,76.96081081081081,63.689189189189186,[76.96081081 63.68918919],149,Barcelona x Celta Vigo,2020/2021
4,Lionel Andrés Messi Cuccittini,84.15636363636364,30.28363636363636,[84.15636364 30.28363636],129,Barcelona x Celta Vigo,2020/2021
5,Marc-André ter Stegen,12.993103448275862,37.06206896551724,[12.99310345 37.06206897],56,Barcelona x Celta Vigo,2020/2021
6,Moriba Kourouma Kourouma,73.03333333333333,21.152631578947368,[73.03333333 21.15263158],107,Barcelona x Celta Vigo,2020/2021
7,Ousmane Dembélé,85.7,12.109090909090908,[85.7        12.10909091],94,Barcelona x Celta Vigo,2020/2021
8,Pedro González López,78.28695652173913,50.37826086956522,[78.28695652 50.37826087],48,Barcelona x Celta Vigo,2020/2021
9,Ronald Federico Araújo da Silva,47.272602739726025,11.536986301369861,[47.27260274 11.5369863 ],129,Barcelona x Celta Vigo,2020/2021
10,Sergio Busquets i Burgos,65.58831168831169,38.26233766233766,[65.58831169 38.26233766],151,Barcelona x Celta Vigo,2020/2021
0,Antoine Griezmann,70.22972972972973,28.1,[70.22972973 28.1       ],79,Real Betis x Barcelona,2020/2021
1,Clément Lenglet,44.74098360655737,43.0672131147541,[44.74098361 43.06721311],112,Real Betis x Barcelona,2020/2021
2,Jordi Alba Ramos,61.49285714285714,62.7047619047619,[61.49285714 62.7047619 ],92,Real Betis x Barcelona,2020/2021
3,Marc-André ter Stegen,10.667741935483871,32.64193548387097,[10.66774194 32.64193548],47,Real Betis x Barcelona,2020/2021
4,Martin Braithwaite Christensen,71.04285714285714,56.464285714285715,[71.04285714 56.46428571],38,Real Betis x Barcelona,2020/2021
5,Miralem Pjanić,66.37678571428572,25.310714285714287,[66.37678571 25.31071429],110,Real Betis x Barcelona,2020/2021
6,Ousmane Dembélé,81.52000000000001,11.3825,[81.52   11.3825],88,Real Betis x Barcelona,2020/2021
7,Ricard Puig Martí,67.48813559322033,48.0864406779661,[67.48813559 48.08644068],124,Real Betis x Barcelona,2020/2021
8,Ronald Federico Araújo da Silva,40.38333333333333,18.51666666666667,[40.38333333 18.51666667],11,Real Betis x Barcelona,2020/2021
9,Sergio Busquets i Burgos,61.73731343283581,35.546268656716414,[61.73731343 35.54626866],131,Real Betis x Barcelona,2020/2021
10,Óscar Mingueza García,59.12380952380952,5.0738095238095235,[59.12380952  5.07380952],78,Real Betis x Barcelona,2020/2021
0,Antoine Griezmann,82.46451612903226,46.145161290322584,[82.46451613 46.14516129],69,Osasuna x Barcelona,2020/2021
1,Clément Lenglet,45.41971830985916,37.973239436619714,[45.41971831 37.97323944],139,Osasuna x Barcelona,2020/2021
2,Frenkie de Jong,54.630645161290325,32.0258064516129,[54.63064516 32.02580645],125,Osasuna x Barcelona,2020/2021
3,Jordi Alba Ramos,73.66507936507936,66.0984126984127,[73.66507937 66.0984127 ],139,Osasuna x Barcelona,2020/2021
4,Lionel Andrés Messi Cuccittini,77.25737704918032,32.45245901639344,[77.25737705 32.45245902],141,Osasuna x Barcelona,2020/2021
5,Marc-André ter Stegen,8.581818181818182,34.95454545454545,[ 8.58181818 34.95454545],54,Osasuna x Barcelona,2020/2021
6,Pedro González López,70.14024390243902,50.71463414634147,[70.1402439  50.71463415],157,Osasuna x Barcelona,2020/2021
7,Samuel Yves Umtiti,48.922,59.553999999999995,[48.922 59.554],97,Osasuna x Barcelona,2020/2021
8,Sergino Dest,63.226190476190474,5.457142857142857,[63.22619048  5.45714286],85,Osasuna x Barcelona,2020/2021
9,Sergio Busquets i Burgos,56.602985074626865,35.547761194029846,[56.60298507 35.54776119],130,Osasuna x Barcelona,2020/2021
10,Óscar Mingueza García,52.58028169014084,13.374647887323942,[52.58028169 13.37464789],130,Osasuna x Barcelona,2020/2021
0,Clément Lenglet,61.31797752808989,55.94831460674157,[61.31797753 55.94831461],172,Real Madrid x Barcelona,2020/2021
1,Frenkie de Jong,69.70625,26.53125,[69.70625 26.53125],132,Real Madrid x Barcelona,2020/2021
2,Jordi Alba Ramos,75.47162162162162,65.0054054054054,[75.47162162 65.00540541],139,Real Madrid x Barcelona,2020/2021
3,Lionel Andrés Messi Cuccittini,79.22068965517242,29.110344827586204,[79.22068966 29.11034483],144,Real Madrid x Barcelona,2020/2021
4,Marc-André ter Stegen,11.378787878787879,32.2969696969697,[11.37878788 32.2969697 ],49,Real Madrid x Barcelona,2020/2021
5,Ousmane Dembélé,82.31428571428572,20.30952380952381,[82.31428571 20.30952381],55,Real Madrid x Barcelona,2020/2021
6,Pedro González López,76.75918367346938,46.17551020408163,[76.75918367 46.1755102 ],112,Real Madrid x Barcelona,2020/2021
7,Ronald Federico Araújo da Silva,55.82083333333333,33.9625,[55.82083333 33.9625    ],86,Real Madrid x Barcelona,2020/2021
8,Sergino Dest,80.5,3.383333333333333,[80.5         3.38333333],50,Real Madrid x Barcelona,2020/2021
9,Sergio Busquets i Burgos,65.11688311688312,38.528571428571425,[65.11688312 38.52857143],147,Real Madrid x Barcelona,2020/2021
10,Óscar Mingueza García,59.720588235294116,13.419117647058824,[59.72058824 13.41911765],124,Real Madrid x Barcelona,2020/2021
0,Antoine Griezmann,85.69076923076922,23.395384615384614,[85.69076923 23.39538462],128,Barcelona x Levante UD,2020/2021
1,Clément Lenglet,52.6044776119403,52.11940298507463,[52.60447761 52.11940299],126,Barcelona x Levante UD,2020/2021
2,Frenkie de Jong,75.41346153846153,26.448076923076922,[75.41346154 26.44807692],109,Barcelona x Levante UD,2020/2021
3,Jordi Alba Ramos,73.49368421052631,60.282105263157895,[73.49368421 60.28210526],175,Barcelona x Levante UD,2020/2021
4,Lionel Andrés Messi Cuccittini,88.7074074074074,32.42407407407408,[88.70740741 32.42407407],139,Barcelona x Levante UD,2020/2021
5,Marc-André ter Stegen,13.024137931034483,35.63793103448276,[13.02413793 35.63793103],42,Barcelona x Levante UD,2020/2021
6,Martin Braithwaite Christensen,79.81290322580645,55.461290322580645,[79.81290323 55.46129032],81,Barcelona x Levante UD,2020/2021
7,Philippe Coutinho Correia,82.8859649122807,49.08070175438596,[82.88596491 49.08070175],119,Barcelona x Levante UD,2020/2021
8,Ronald Federico Araújo da Silva,45.91,24.954,[45.91  24.954],91,Barcelona x Levante UD,2020/2021
9,Sergino Dest,73.8639344262295,6.044262295081966,[73.86393443  6.0442623 ],120,Barcelona x Levante UD,2020/2021
10,Sergio Busquets i Burgos,62.64905660377359,33.27169811320755,[62.6490566  33.27169811],98,Barcelona x Levante UD,2020/2021
0,Anssumane Fati,85.40384615384616,60.58461538461539,[85.40384615 60.58461538],114,Barcelona x Villarreal,2020/2021
1,Antoine Griezmann,71.50714285714285,19.110714285714288,[71.50714286 19.11071429],66,Barcelona x Villarreal,2020/2021
2,Clément Lenglet,42.422641509433966,49.390566037735844,[42.42264151 49.39056604],106,Barcelona x Villarreal,2020/2021
3,Frenkie de Jong,63.15555555555556,47.11358024691358,[63.15555556 47.11358025],157,Barcelona x Villarreal,2020/2021
4,Gerard Piqué Bernabéu,36.507999999999996,23.130666666666666,[36.508      23.13066667],133,Barcelona x Villarreal,2020/2021
5,Jordi Alba Ramos,62.42444444444444,61.51333333333333,[62.42444444 61.51333333],165,Barcelona x Villarreal,2020/2021
6,Lionel Andrés Messi Cuccittini,78.47735849056605,28.00754716981132,[78.47735849 28.00754717],128,Barcelona x Villarreal,2020/2021
7,Norberto Murara Neto,10.325,34.728125,[10.325    34.728125],51,Barcelona x Villarreal,2020/2021
8,Philippe Coutinho Correia,76.35000000000001,44.86666666666667,[76.35       44.86666667],106,Barcelona x Villarreal,2020/2021
9,Sergi Roberto Carnicer,63.4140350877193,6.940350877192982,[63.41403509  6.94035088],109,Barcelona x Villarreal,2020/2021
10,Sergio Busquets i Burgos,63.6536231884058,33.00144927536232,[63.65362319 33.00144928],141,Barcelona x Villarreal,2020/2021
0,Anssumane Fati,82.81315789473685,58.663157894736834,[82.81315789 58.66315789],99,Celta Vigo x Barcelona,2020/2021
1,Antoine Griezmann,76.73333333333333,10.057142857142857,[76.73333333 10.05714286],50,Celta Vigo x Barcelona,2020/2021
2,Clément Lenglet,41.614999999999995,47.56,[41.615 47.56 ],71,Celta Vigo x Barcelona,2020/2021
3,Frenkie de Jong,59.481632653061226,44.351020408163265,[59.48163265 44.35102041],99,Celta Vigo x Barcelona,2020/2021
4,Gerard Piqué Bernabéu,42.916666666666664,27.25,[42.91666667 27.25      ],64,Celta Vigo x Barcelona,2020/2021
5,Jordi Alba Ramos,65.66571428571429,62.582857142857144,[65.66571429 62.58285714],128,Celta Vigo x Barcelona,2020/2021
6,Lionel Andrés Messi Cuccittini,77.00869565217391,29.234782608695653,[77.00869565 29.23478261],145,Celta Vigo x Barcelona,2020/2021
7,Norberto Murara Neto,11.820689655172414,34.01379310344827,[11.82068966 34.0137931 ],47,Celta Vigo x Barcelona,2020/2021
8,Philippe Coutinho Correia,76.64038461538462,42.02307692307692,[76.64038462 42.02307692],117,Celta Vigo x Barcelona,2020/2021
9,Sergi Roberto Carnicer,60.78148148148148,5.938888888888889,[60.78148148  5.93888889],104,Celta Vigo x Barcelona,2020/2021
10,Sergio Busquets i Burgos,63.19305555555555,26.112499999999997,[63.19305556 26.1125    ],136,Celta Vigo x Barcelona,2020/2021
0,Anssumane Fati,76.22777777777777,36.72222222222222,[76.22777778 36.72222222],53,Barcelona x Real Madrid,2020/2021
1,Clément Lenglet,42.332258064516125,53.690322580645166,[42.33225806 53.69032258],113,Barcelona x Real Madrid,2020/2021
2,Frenkie de Jong,64.88235294117646,53.63235294117647,[64.88235294 53.63235294],135,Barcelona x Real Madrid,2020/2021
3,Gerard Piqué Bernabéu,39.981632653061226,24.53673469387755,[39.98163265 24.53673469],87,Barcelona x Real Madrid,2020/2021
4,Jordi Alba Ramos,68.08965517241379,64.45344827586207,[68.08965517 64.45344828],119,Barcelona x Real Madrid,2020/2021
5,Lionel Andrés Messi Cuccittini,72.24444444444444,38.03809523809524,[72.24444444 38.03809524],147,Barcelona x Real Madrid,2020/2021
6,Norberto Murara Neto,9.105263157894736,35.61578947368421,[ 9.10526316 35.61578947],27,Barcelona x Real Madrid,2020/2021
7,Pedro González López,71.8921052631579,14.86315789473684,[71.89210526 14.86315789],75,Barcelona x Real Madrid,2020/2021
8,Philippe Coutinho Correia,73.47636363636363,47.81090909090909,[73.47636364 47.81090909],121,Barcelona x Real Madrid,2020/2021
9,Sergino Dest,62.947272727272725,7.685454545454546,[62.94727273  7.68545455],99,Barcelona x Real Madrid,2020/2021
10,Sergio Busquets i Burgos,59.75301204819277,35.106024096385546,[59.75301205 35.1060241 ],160,Barcelona x Real Madrid,2020/2021
0,Clément Lenglet,58.529411764705884,52.12647058823529,[58.52941176 52.12647059],193,Huesca x Barcelona,2020/2021
1,Frenkie de Jong,69.0268656716418,28.944776119402984,[69.02686567 28.94477612],134,Huesca x Barcelona,2020/2021
2,Jordi Alba Ramos,72.07744360902255,62.830827067669176,[72.07744361 62.83082707],252,Huesca x Barcelona,2020/2021
3,Lionel Andrés Messi Cuccittini,80.77931034482759,40.043678160919534,[80.77931034 40.04367816],193,Huesca x Barcelona,2020/2021
4,Marc-André ter Stegen,12.744000000000002,34.224000000000004,[12.744 34.224],39,Huesca x Barcelona,2020/2021
5,Martin Braithwaite Christensen,89.46666666666667,26.22222222222222,[89.46666667 26.22222222],24,Huesca x Barcelona,2020/2021
6,Ousmane Dembélé,89.10361445783133,59.80722891566265,[89.10361446 59.80722892],185,Huesca x Barcelona,2020/2021
7,Pedro González López,81.00694444444444,44.358333333333334,[81.00694444 44.35833333],157,Huesca x Barcelona,2020/2021
8,Ronald Federico Araújo da Silva,52.00491803278688,23.604918032786887,[52.00491803 23.60491803],105,Huesca x Barcelona,2020/2021
9,Sergino Dest,81.2279069767442,8.555813953488373,[81.22790698  8.55581395],89,Huesca x Barcelona,2020/2021
10,Sergio Busquets i Burgos,65.12666666666667,38.084761904761905,[65.12666667 38.0847619 ],203,Huesca x Barcelona,2020/2021
0,Anssumane Fati,79.47666666666667,53.486666666666665,[79.47666667 53.48666667],65,Barcelona x Sevilla,2020/2021
1,Antoine Griezmann,70.48125,14.868750000000002,[70.48125 14.86875],43,Barcelona x Sevilla,2020/2021
2,Frenkie de Jong,65.0173076923077,48.982692307692304,[65.01730769 48.98269231],111,Barcelona x Sevilla,2020/2021
3,Gerard Piqué Bernabéu,41.779411764705884,47.4014705882353,[41.77941176 47.40147059],124,Barcelona x Sevilla,2020/2021
4,Jordi Alba Ramos,58.2,62.95769230769231,[58.2        62.95769231],98,Barcelona x Sevilla,2020/2021
5,Lionel Andrés Messi Cuccittini,71.46862745098039,27.264705882352942,[71.46862745 27.26470588],125,Barcelona x Sevilla,2020/2021
6,Norberto Murara Neto,10.230952380952381,32.85952380952381,[10.23095238 32.85952381],70,Barcelona x Sevilla,2020/2021
7,Philippe Coutinho Correia,71.26190476190476,51.409523809523805,[71.26190476 51.40952381],86,Barcelona x Sevilla,2020/2021
8,Ronald Federico Araújo da Silva,42.344067796610176,20.1,[42.3440678 20.1      ],113,Barcelona x Sevilla,2020/2021
9,Sergi Roberto Carnicer,61.14776119402985,4.974626865671641,[61.14776119  4.97462687],128,Barcelona x Sevilla,2020/2021
10,Sergio Busquets i Burgos,64.46216216216216,24.717567567567567,[64.46216216 24.71756757],143,Barcelona x Sevilla,2020/2021
0,Anssumane Fati,88.47419354838709,57.11612903225806,[88.47419355 57.11612903],79,Deportivo Alavés x Barcelona,2020/2021
1,Antoine Griezmann,81.2423076923077,37.753846153846155,[81.24230769 37.75384615],63,Deportivo Alavés x Barcelona,2020/2021
2,Clément Lenglet,52.46545454545454,51.25636363636364,[52.46545455 51.25636364],105,Deportivo Alavés x Barcelona,2020/2021
3,Frenkie de Jong,64.51232876712328,48.92191780821918,[64.51232877 48.92191781],147,Deportivo Alavés x Barcelona,2020/2021
4,Gerard Piqué Bernabéu,50.2452380952381,25.71547619047619,[50.2452381  25.71547619],153,Deportivo Alavés x Barcelona,2020/2021
5,Jordi Alba Ramos,61.86976744186047,61.53488372093023,[61.86976744 61.53488372],77,Deportivo Alavés x Barcelona,2020/2021
6,Lionel Andrés Messi Cuccittini,79.45454545454545,30.84090909090909,[79.45454545 30.84090909],99,Deportivo Alavés x Barcelona,2020/2021
7,Norberto Murara Neto,12.904761904761905,38.25714285714285,[12.9047619  38.25714286],35,Deportivo Alavés x Barcelona,2020/2021
8,Ousmane Dembélé,85.59565217391305,2.5304347826086975,[85.59565217  2.53043478],55,Deportivo Alavés x Barcelona,2020/2021
9,Sergi Roberto Carnicer,66.69852941176471,10.526470588235293,[66.69852941 10.52647059],126,Deportivo Alavés x Barcelona,2020/2021
10,Sergio Busquets i Burgos,64.60208333333334,32.69375,[64.60208333 32.69375   ],93,Deportivo Alavés x Barcelona,2020/2021
0,Antoine Griezmann,72.96521739130435,47.52608695652174,[72.96521739 47.52608696],95,Granada x Barcelona,2020/2021
1,Frenkie de Jong,59.66981132075472,25.60566037735849,[59.66981132 25.60566038],111,Granada x Barcelona,2020/2021
2,Jordi Alba Ramos,64.45245901639345,65.20655737704918,[64.45245902 65.20655738],127,Granada x Barcelona,2020/2021
3,Lionel Andrés Messi Cuccittini,69.99322033898305,26.14406779661017,[69.99322034 26.1440678 ],129,Granada x Barcelona,2020/2021
4,Marc-André ter Stegen,10.835135135135134,34.872972972972974,[10.83513514 34.87297297],57,Granada x Barcelona,2020/2021
5,Ousmane Dembélé,76.31147540983606,9.368852459016393,[76.31147541  9.36885246],134,Granada x Barcelona,2020/2021
6,Pedro González López,65.05624999999999,45.82708333333333,[65.05625    45.82708333],103,Granada x Barcelona,2020/2021
7,Samuel Yves Umtiti,41.138888888888886,53.91944444444445,[41.13888889 53.91944444],138,Granada x Barcelona,2020/2021
8,Sergino Dest,65.15192307692308,2.8826923076923077,[65.15192308  2.88269231],101,Granada x Barcelona,2020/2021
9,Sergio Busquets i Burgos,51.65046728971963,30.599999999999998,[51.65046729 30.6       ],197,Granada x Barcelona,2020/2021
10,Óscar Mingueza García,41.85064935064935,24.832467532467533,[41.85064935 24.83246753],154,Granada x Barcelona,2020/2021
0,Antoine Griezmann,65.33548387096775,26.30322580645161,[65.33548387 26.30322581],74,Getafe x Barcelona,2020/2021
1,Clément Lenglet,40.18,55.255384615384614,[40.18       55.25538462],121,Getafe x Barcelona,2020/2021
2,Frenkie de Jong,51.741509433962264,48.286792452830184,[51.74150943 48.28679245],103,Getafe x Barcelona,2020/2021
3,Gerard Piqué Bernabéu,43.501176470588234,21.894117647058824,[43.50117647 21.89411765],155,Getafe x Barcelona,2020/2021
4,Lionel Andrés Messi Cuccittini,74.43823529411765,28.13235294117647,[74.43823529 28.13235294],77,Getafe x Barcelona,2020/2021
5,Norberto Murara Neto,11.419354838709678,35.92258064516129,[11.41935484 35.92258065],48,Getafe x Barcelona,2020/2021
6,Ousmane Dembélé,73.03125,52.175000000000004,[73.03125 52.175  ],82,Getafe x Barcelona,2020/2021
7,Pedro González López,64.38484848484848,36.26969696969697,[64.38484848 36.26969697],76,Getafe x Barcelona,2020/2021
8,Sergi Roberto Carnicer,58.56,4.550769230769231,[58.56        4.55076923],128,Getafe x Barcelona,2020/2021
9,Sergino Dest,65.74727272727273,62.21272727272727,[65.74727273 62.21272727],113,Getafe x Barcelona,2020/2021
10,Sergio Busquets i Burgos,57.73174603174603,31.27619047619048,[57.73174603 31.27619048],117,Getafe x Barcelona,2020/2021
0,Antoine Griezmann,78.53636363636363,31.981818181818184,[78.53636364 31.98181818],62,Atlético Madrid x Barcelona,2020/2021
1,Clément Lenglet,48.46140350877193,53.357894736842105,[48.46140351 53.35789474],113,Atlético Madrid x Barcelona,2020/2021
2,Frenkie de Jong,63.29142857142857,36.08571428571429,[63.29142857 36.08571429],135,Atlético Madrid x Barcelona,2020/2021
3,Gerard Piqué Bernabéu,47.206896551724135,30.060344827586206,[47.20689655 30.06034483],105,Atlético Madrid x Barcelona,2020/2021
4,Jordi Alba Ramos,65.22631578947369,61.946052631578944,[65.22631579 61.94605263],143,Atlético Madrid x Barcelona,2020/2021
5,Lionel Andrés Messi Cuccittini,82.4531914893617,29.006382978723405,[82.45319149 29.00638298],106,Atlético Madrid x Barcelona,2020/2021
6,Marc-André ter Stegen,12.009090909090908,33.82272727272727,[12.00909091 33.82272727],35,Atlético Madrid x Barcelona,2020/2021
7,Miralem Pjanić,65.1530303030303,30.245454545454546,[65.1530303  30.24545455],129,Atlético Madrid x Barcelona,2020/2021
8,Ousmane Dembélé,84.27560975609757,9.302439024390244,[84.27560976  9.30243902],91,Atlético Madrid x Barcelona,2020/2021
9,Pedro González López,70.66363636363636,52.70909090909092,[70.66363636 52.70909091],51,Atlético Madrid x Barcelona,2020/2021
10,Sergi Roberto Carnicer,67.36133333333333,12.34,[67.36133333 12.34      ],142,Atlético Madrid x Barcelona,2020/2021
0,Antoine Griezmann,87.65714285714286,36.09047619047619,[87.65714286 36.09047619],91,Barcelona x Valencia,2020/2021
1,Jordi Alba Ramos,76.47272727272727,61.67090909090909,[76.47272727 61.67090909],206,Barcelona x Valencia,2020/2021
2,Lionel Andrés Messi Cuccittini,85.5530303030303,38.0439393939394,[85.5530303  38.04393939],148,Barcelona x Valencia,2020/2021
3,Marc-André ter Stegen,12.244000000000002,34.92,[12.244 34.92 ],41,Barcelona x Valencia,2020/2021
4,Martin Braithwaite Christensen,76.80588235294118,56.33235294117647,[76.80588235 56.33235294],86,Barcelona x Valencia,2020/2021
5,Pedro González López,76.6515625,36.9265625,[76.6515625 36.9265625],131,Barcelona x Valencia,2020/2021
6,Philippe Coutinho Correia,84.38208955223881,53.03582089552239,[84.38208955 53.0358209 ],149,Barcelona x Valencia,2020/2021
7,Ronald Federico Araújo da Silva,46.75454545454545,23.281818181818185,[46.75454545 23.28181818],73,Barcelona x Valencia,2020/2021
8,Sergino Dest,81.8,7.630612244897959,[81.8         7.63061224],95,Barcelona x Valencia,2020/2021
9,Sergio Busquets i Burgos,66.309375,39.7875,[66.309375 39.7875  ],121,Barcelona x Valencia,2020/2021
10,Óscar Mingueza García,49.498275862068965,47.08275862068966,[49.49827586 47.08275862],105,Barcelona x Valencia,2020/2021
0,Antoine Griezmann,86.10303030303031,38.22575757575758,[86.1030303  38.22575758],140,Barcelona x Granada,2020/2021
1,Frenkie de Jong,80.13833333333334,26.855,[80.13833333 26.855     ],135,Barcelona x Granada,2020/2021
2,Gerard Piqué Bernabéu,48.94444444444444,33.787499999999994,[48.94444444 33.7875    ],140,Barcelona x Granada,2020/2021
3,Jordi Alba Ramos,71.34901960784315,64.78529411764707,[71.34901961 64.78529412],187,Barcelona x Granada,2020/2021
4,Lionel Andrés Messi Cuccittini,85.46543209876543,25.099999999999998,[85.4654321 25.1      ],180,Barcelona x Granada,2020/2021
5,Marc-André ter Stegen,9.595454545454546,36.88181818181818,[ 9.59545455 36.88181818],33,Barcelona x Granada,2020/2021
6,Moriba Kourouma Kourouma,76.81515151515151,55.77878787878788,[76.81515152 55.77878788],87,Barcelona x Granada,2020/2021
7,Samuel Yves Umtiti,56.998717948717946,53.73846153846154,[56.99871795 53.73846154],147,Barcelona x Granada,2020/2021
8,Sergi Roberto Carnicer,78.87864077669903,7.331067961165049,[78.87864078  7.33106796],200,Barcelona x Granada,2020/2021
9,Sergio Busquets i Burgos,68.91851851851852,35.12,[68.91851852 35.12      ],258,Barcelona x Granada,2020/2021
10,Óscar Mingueza García,58.16197183098591,14.566197183098593,[58.16197183 14.56619718],139,Barcelona x Granada,2020/2021
0,Antoine Griezmann,79.62285714285714,42.98285714285714,[79.62285714 42.98285714],84,Barcelona x Atlético Madrid,2020/2021
1,Clément Lenglet,51.0027027027027,57.53513513513514,[51.0027027  57.53513514],137,Barcelona x Atlético Madrid,2020/2021
2,Frenkie de Jong,65.63064516129032,35.11774193548387,[65.63064516 35.11774194],129,Barcelona x Atlético Madrid,2020/2021
3,Gerard Piqué Bernabéu,49.516279069767435,33.43488372093023,[49.51627907 33.43488372],86,Barcelona x Atlético Madrid,2020/2021
4,Jordi Alba Ramos,67.36849315068493,66.33013698630137,[67.36849315 66.33013699],144,Barcelona x Atlético Madrid,2020/2021
5,Lionel Andrés Messi Cuccittini,80.15609756097561,25.00487804878049,[80.15609756 25.00487805],96,Barcelona x Atlético Madrid,2020/2021
6,Marc-André ter Stegen,10.549999999999999,33.625,[10.55  33.625],37,Barcelona x Atlético Madrid,2020/2021
7,Pedro González López,70.30526315789473,43.08421052631579,[70.30526316 43.08421053],80,Barcelona x Atlético Madrid,2020/2021
8,Sergino Dest,69.10731707317073,4.81951219512195,[69.10731707  4.8195122 ],78,Barcelona x Atlético Madrid,2020/2021
9,Sergio Busquets i Burgos,63.72692307692308,36.52307692307692,[63.72692308 36.52307692],48,Barcelona x Atlético Madrid,2020/2021
10,Óscar Mingueza García,50.282,16.312,[50.282 16.312],95,Barcelona x Atlético Madrid,2020/2021
0,Antoine Griezmann,72.21219512195121,44.55365853658537,[72.21219512 44.55365854],99,Levante UD x Barcelona,2020/2021
1,Clément Lenglet,56.050000000000004,57.588235294117645,[56.05       57.58823529],133,Levante UD x Barcelona,2020/2021
2,Frenkie de Jong,72.11538461538461,24.29423076923077,[72.11538462 24.29423077],93,Levante UD x Barcelona,2020/2021
3,Gerard Piqué Bernabéu,48.97166666666667,32.80833333333333,[48.97166667 32.80833333],109,Levante UD x Barcelona,2020/2021
4,Jordi Alba Ramos,71.14583333333333,65.26944444444445,[71.14583333 65.26944444],140,Levante UD x Barcelona,2020/2021
5,Lionel Andrés Messi Cuccittini,78.58863636363637,25.36818181818182,[78.58863636 25.36818182],108,Levante UD x Barcelona,2020/2021
6,Marc-André ter Stegen,9.595238095238095,33.523809523809526,[ 9.5952381  33.52380952],33,Levante UD x Barcelona,2020/2021
7,Ousmane Dembélé,82.8695652173913,9.339130434782609,[82.86956522  9.33913043],94,Levante UD x Barcelona,2020/2021
8,Pedro González López,79.1775,54.1,[79.1775 54.1   ],88,Levante UD x Barcelona,2020/2021
9,Ronald Federico Araújo da Silva,51.56923076923077,13.853846153846153,[51.56923077 13.85384615],50,Levante UD x Barcelona,2020/2021
10,Sergio Busquets i Burgos,58.864705882352936,32.66470588235294,[58.86470588 32.66470588],95,Levante UD x Barcelona,2020/2021
0,Antoine Griezmann,81.60888888888888,49.10666666666667,[81.60888889 49.10666667],105,Valencia x Barcelona,2020/2021
1,Clément Lenglet,62.900877192982456,58.586842105263166,[62.90087719 58.58684211],222,Valencia x Barcelona,2020/2021
2,Frenkie de Jong,77.69661016949154,29.56271186440678,[77.69661017 29.56271186],126,Valencia x Barcelona,2020/2021
3,Gerard Piqué Bernabéu,51.44461538461539,34.27076923076923,[51.44461538 34.27076923],112,Valencia x Barcelona,2020/2021
4,Jordi Alba Ramos,78.50294117647059,65.4656862745098,[78.50294118 65.46568627],199,Valencia x Barcelona,2020/2021
5,Lionel Andrés Messi Cuccittini,81.0527027027027,34.266216216216215,[81.0527027  34.26621622],167,Valencia x Barcelona,2020/2021
6,Marc-André ter Stegen,11.841666666666667,35.35,[11.84166667 35.35      ],37,Valencia x Barcelona,2020/2021
7,Pedro González López,79.97592592592592,48.020370370370365,[79.97592593 48.02037037],119,Valencia x Barcelona,2020/2021
8,Ronald Federico Araújo da Silva,59.67460317460318,15.984126984126984,[59.67460317 15.98412698],121,Valencia x Barcelona,2020/2021
9,Sergino Dest,79.28108108108108,6.208108108108108,[79.28108108  6.20810811],74,Valencia x Barcelona,2020/2021
10,Sergio Busquets i Burgos,66.40227272727272,35.45340909090909,[66.40227273 35.45340909],168,Valencia x Barcelona,2020/2021
0,Antoine Griezmann,83.41851851851852,44.01851851851852,[83.41851852 44.01851852],112,Barcelona x Huesca,2020/2021
1,Clément Lenglet,59.629999999999995,57.824444444444445,[59.63       57.82444444],168,Barcelona x Huesca,2020/2021
2,Frenkie de Jong,59.07142857142857,38.28214285714286,[59.07142857 38.28214286],163,Barcelona x Huesca,2020/2021
3,Jordi Alba Ramos,75.89729729729729,65.32702702702703,[75.8972973  65.32702703],152,Barcelona x Huesca,2020/2021
4,Lionel Andrés Messi Cuccittini,80.9037037037037,26.51604938271605,[80.9037037  26.51604938],187,Barcelona x Huesca,2020/2021
5,Marc-André ter Stegen,12.357142857142858,37.561904761904756,[12.35714286 37.56190476],35,Barcelona x Huesca,2020/2021
6,Ousmane Dembélé,93.98571428571428,39.791428571428575,[93.98571429 39.79142857],77,Barcelona x Huesca,2020/2021
7,Pedro González López,76.19375,42.04875,[76.19375 42.04875],161,Barcelona x Huesca,2020/2021
8,Sergino Dest,80.19682539682539,4.458730158730158,[80.1968254   4.45873016],123,Barcelona x Huesca,2020/2021
9,Sergio Busquets i Burgos,66.79152542372881,29.86271186440678,[66.79152542 29.86271186],225,Barcelona x Huesca,2020/2021
10,Óscar Mingueza García,63.01162790697674,13.143023255813953,[63.01162791 13.14302326],169,Barcelona x Huesca,2020/2021
0,Antoine Griezmann,66.95185185185186,33.800000000000004,[66.95185185 33.8       ],60,Barcelona x Getafe,2020/2021
1,Clément Lenglet,50.01315789473684,55.49210526315789,[50.01315789 55.49210526],149,Barcelona x Getafe,2020/2021
2,Frenkie de Jong,57.81428571428572,34.75857142857143,[57.81428571 34.75857143],144,Barcelona x Getafe,2020/2021
